,FIPS_ST,FIPS_CTY,GRNDTOT,MURDER,RAPE,ROBBERY,AGASSLT,State_CTY,Population,Crime_Rates,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),"Population 25 years and over!!Some college, no degree",Population 25 years and over!!Associate's degree,Population 25 years and over!!Bachelor's degree,Population 25 years and over!!Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher
612,South Carolina,85,226,5,9,42,170,South Carolina85,301463,74.96774065142323,4.4,9.8,31.6,25.6,9.2,13.2,6.3,85.8,19.5
613,South Carolina,91,276,3,22,58,193,South Carolina91,107396,256.9928116503408,4.1,6.5,25.8,22.8,10.9,19.9,9.9,89.4,29.9
614,South Dakota,99,370,8,6,27,329,South Dakota99,258526,143.11906732785096,3.5,4.8,25.4,21.9,11.0,23.0,10.4,91.7,33.4
615,South Dakota,103,232,3,7,14,208,South Dakota103,187318,123.85355384960334,2.2,6.3,26.2,23.4,11.7,19.6,10.6,91.5,30.2
616,Tennessee,1,200,0,0,35,165,Tennessee1,109372,182.862158504919,5.0,7.0,32.0,25.6,7.2,13.2,9.9,88.0,23.1
617,Tennessee,9,199,1,4,18,176,Tennessee9,75936,262.062789717657,3.7,7.6,33.7,22.4,9.7,14.8,8.1,88.7,22.8
618,Tennessee,11,255,1,0,25,229,Tennessee11,128670,198.1813942643973,5.3,8.7,34.8,20.4,7.8,15.1,7.9,86.0,23.0
619,Tennessee,37,3477,76,9,339,3053,Tennessee37,104490,3327.5911570485214,4.2,8.2,22.3,19.6,5.8,24.9,14.9,87.6,39.8
620,Tennessee,59,103,1,2,5,95,Tennessee59,684410,15.049458657822067,6.1,8.3,44.0,19.4,6.0,10.1,6.2,85.7,16.3
621,Tennessee,65,797,14,10,153,620,Tennessee65,68615,1161.553596152445,4.0,7.2,29.3,19.2,9.5,21.1,9.5,88.8,30.7
622,Tennessee,93,680,10,8,130,532,Tennessee93,357738,190.08324528006528,2.9,6.3,24.1,20.2,8.1,23.8,14.6,90.8,38.4
623,Tennessee,113,443,8,5,51,379,Tennessee113,456132,97.12100883077706,3.3,8.6,40.5,21.3,5.3,13.4,7.6,88.1,21.0
624,Tennessee,119,177,1,4,23,149,Tennessee119,97663,181.23547300410596,3.0,5.8,34.1,24.8,10.1,13.6,8.6,91.1,22.2
625,Tennessee,125,621,16,13,61,531,Tennessee125,89981,690.1456974250119,2.3,5.9,29.8,27.7,8.4,18.4,7.4,91.8,25.8
626,Tennessee,141,181,0,3,6,172,Tennessee141,195734,92.47243708297997,6.0,7.8,38.2,16.2,3.8,16.9,11.2,86.3,28.1
627,Tennessee,147,153,1,5,15,132,Tennessee147,75931,201.49872910932297,5.6,8.7,37.8,20.4,7.8,13.0,6.7,85.7,19.7
628,Tennessee,149,649,5,27,63,554,Tennessee149,69165,938.3358635147835,2.3,4.7,29.6,23.4,8.1,22.0,9.9,93.0,31.8
629,Tennessee,155,165,4,4,11,146,Tennessee155,308251,53.5278068846492,5.3,8.4,38.4,22.8,6.7,11.6,6.7,86.3,18.2
630,Tennessee,157,2348,78,70,641,1559,Tennessee157,96673,2428.8063885469574,4.2,7.5,25.7,24.4,7.4,19.2,11.5,88.3,30.8
631,Tennessee,163,309,5,4,35,265,Tennessee163,934603,33.06216650278247,4.8,9.2,37.3,20.8,8.0,12.1,7.8,86.0,19.9
632,Tennessee,165,304,2,7,21,274,Tennessee165,156667,194.04214033587164,4.0,5.5,32.3,21.9,9.3,18.2,8.8,90.5,27.0
633,Tennessee,179,250,2,7,30,211,Tennessee179,180063,138.8402947857139,3.9,8.6,30.4,19.2,6.2,19.6,12.1,87.5,31.7
634,Tennessee,187,148,3,6,9,130,Tennessee187,127440,116.13308223477716,2.6,3.5,13.6,17.5,6.8,36.9,19.0,93.8,55.9
635,Tennessee,189,184,1,11,14,158,Tennessee189,219107,83.9772348669828,3.3,6.9,26.4,25.3,9.0,19.7,9.4,89.8,29.2
636,Texas,5,132,1,12,23,96,Texas5,132781,99.41181343716345,9.3,12.4,29.1,25.1,8.1,10.9,5.0,78.2,15.8
637,Texas,21,120,2,7,9,102,Texas21,87791,136.68827100727864,8.9,8.9,27.2,26.7,8.2,13.3,6.8,82.2,20.2
638,Texas,27,232,5,28,64,135,Texas27,82733,280.420146737094,3.8,6.1,25.7,31.4,10.7,14.7,7.6,90.1,22.3
639,Texas,29,2008,136,132,636,1104,Texas29,340411,589.8751802967589,7.8,9.6,25.3,21.7,7.8,17.8,10.1,82.6,27.9
640,Texas,37,188,8,25,17,138,Texas37,1928680,9.747599394404464,2.9,8.4,36.8,23.7,7.2,14.6,6.4,88.8,21.1
641,Texas,39,291,4,10,64,213,Texas39,93860,310.03622416364794,5.3,6.9,28.0,23.3,8.9,17.1,10.4,87.7,27.5
642,Texas,41,298,1,17,55,225,Texas41,354195,84.13444571493105,6.9,6.7,19.9,21.1,6.5,20.0,18.9,86.4,38.9
643,Texas,61,570,9,60,126,375,Texas61,220417,258.6007431368724,19.2,13.2,27.1,16.3,7.2,12.0,5.0,67.6,17.0
644,Texas,85,337,7,32,65,233,Texas85,422135,79.83228114228861,3.4,3.1,15.1,19.3,7.4,33.4,18.3,93.5,51.7
645,Texas,91,90,4,14,14,58,Texas91,939585,9.578696977921103,2.6,3.8,26.1,22.3,8.8,24.6,11.9,93.6,36.5
646,Texas,99,84,2,1,28,53,Texas99,134788,62.32008784164763,6.9,6.2,28.0,31.4,11.5,11.3,4.6,86.9,15.9
647,Texas,113,3414,83,392,1031,1908,Texas113,74686,4571.137830383204,11.9,9.8,22.0,20.1,5.8,19.5,10.9,78.3,30.4
648,Texas,121,497,8,30,72,387,Texas121,2574984,19.30109080289431,3.7,4.1,17.6,22.6,7.4,30.7,13.9,92.2,44.6
649,Texas,135,364,5,17,69,273,Texas135,806180,45.15120692649284,8.9,15.4,31.3,22.4,6.7,11.4,3.9,75.8,15.4
650,Texas,139,164,1,6,31,126,Texas139,157462,104.15211289072919,6.0,9.5,27.3,27.2,8.2,15.1,6.7,84.5,21.8
651,Texas,141,1119,29,69,317,704,Texas141,168499,664.0988967293574,13.6,9.4,23.3,23.4,8.3,14.7,7.3,77.0,22.0
652,Texas,157,285,15,3,86,181,Texas157,837918,34.01287476817541,4.2,5.0,19.0,19.6,7.2,28.1,16.9,90.8,45.0
653,Texas,167,912,12,33,134,733,Texas167,741237,123.03757097932241,4.6,7.5,23.9,24.0,10.8,18.3,10.9,87.9,29.2
654,Texas,181,143,1,1,21,120,Texas181,329431,43.408179558086516,3.3,7.9,28.0,30.1,11.3,14.9,4.5,88.8,19.4
655,Texas,183,150,6,10,37,97,Texas183,128235,116.97274535033338,7.6,12.0,28.0,25.5,5.6,13.9,7.4,80.4,21.3
656,Texas,187,119,2,38,16,63,Texas187,123745,96.16550163642975,5.6,6.1,32.2,19.7,9.1,17.9,9.5,88.4,27.4
657,Texas,201,5744,223,270,1913,3338,Texas201,155265,3699.481531575049,10.8,8.1,23.6,20.0,6.5,20.0,11.0,81.1,31.0
658,Texas,203,85,1,13,7,64,Texas203,4589928,1.8518809009640238,5.8,10.9,32.8,27.8,5.8,11.9,5.0,83.3,16.9
659,Texas,209,193,6,18,27,142,Texas209,66534,290.0772537349325,6.0,6.3,21.5,24.0,6.0,21.4,14.7,87.6,36.1
660,Texas,213,91,5,20,9,57,Texas213,204470,44.50530640191715,7.3,9.4,33.5,26.1,5.2,11.3,7.1,83.3,18.5
661,Texas,215,1030,24,145,252,609,Texas215,79901,1289.095255378531,21.4,13.1,23.3,19.6,4.4,12.8,5.5,65.5,18.3
662,Texas,231,142,4,4,9,125,Texas231,849843,16.70896859772923,5.9,12.3,29.9,25.3,6.4,12.1,8.1,81.8,20.2
663,Texas,245,332,5,3,62,262,Texas245,92073,360.5834500885167,7.7,9.0,33.7,22.5,8.6,12.4,6.1,83.3,18.5
664,Texas,251,120,3,6,8,103,Texas251,254679,47.11813694886504,5.3,9.1,37.6,23.1,5.3,15.0,4.5,85.6,19.5
665,Texas,257,116,1,10,14,91,Texas257,163274,71.04621678895599,7.0,7.0,36.6,21.9,8.1,12.8,6.6,85.9,19.4
666,Texas,291,75,3,6,10,56,Texas291,118350,63.371356147021544,9.6,14.4,40.5,19.6,7.0,6.9,2.2,76.1,9.1
667,Texas,303,428,2,21,77,328,Texas303,81704,523.8421619504553,6.1,8.4,24.6,24.5,5.5,19.5,11.4,85.5,30.9
668,Texas,309,460,4,74,64,318,Texas309,303137,151.7465700326915,6.7,10.3,29.1,22.8,9.2,13.5,8.3,82.9,21.8
669,Texas,329,271,6,12,22,231,Texas329,247934,109.30328232513492,7.2,9.1,27.4,21.3,8.5,19.4,7.1,83.7,26.5
670,Texas,339,281,5,12,45,219,Texas339,162565,172.85393534893734,4.7,8.3,23.6,22.1,7.9,21.2,12.2,87.0,33.4
671,Texas,347,71,0,5,12,54,Texas347,556203,12.765123525043913,6.2,14.6,24.8,23.2,5.4,17.3,8.4,79.2,25.8
672,Texas,355,608,23,39,88,458,Texas355,65806,923.9279093091815,6.9,10.1,28.0,25.1,7.9,14.4,7.7,83.1,22.1
673,Texas,361,50,4,3,6,37,Texas361,361350,13.83700013837,3.8,7.8,39.5,24.6,8.8,12.1,3.4,88.4,15.5
674,Texas,367,52,0,7,3,42,Texas367,84964,61.20239160114872,4.5,7.3,31.3,26.9,8.1,14.7,7.2,88.2,21.9
675,Texas,375,373,9,49,67,248,Texas375,129441,288.16217427244845,11.1,13.2,32.1,22.0,6.8,9.9,4.8,75.7,14.8
676,Texas,381,32,1,6,0,25,Texas381,120832,26.483050847457626,2.4,7.2,19.5,27.4,11.9,21.0,10.6,90.4,31.6
677,Texas,397,24,2,2,4,16,Texas397,132501,18.113070844748343,4.1,4.1,20.0,22.6,9.0,25.2,15.0,91.9,40.2
678,Texas,409,109,3,6,10,90,Texas409,93978,115.98459213858564,9.2,11.7,29.6,27.9,7.0,11.0,3.6,79.1,14.6
679,Texas,423,182,4,8,48,122,Texas423,67655,269.01189860320744,6.4,7.9,23.7,27.3,9.8,17.4,7.5,85.7,24.9
680,Texas,439,2469,82,224,570,1593,Texas439,225290,1095.9208131741311,6.9,7.7,24.7,22.5,7.4,20.4,10.3,85.3,30.7
681,Texas,441,114,3,8,18,85,Texas441,2016872,5.65231705333804,5.1,6.2,36.0,23.2,7.0,15.2,7.4,88.7,22.5
682,Texas,451,104,6,15,21,62,Texas451,136535,76.17094517889186,4.7,11.0,28.2,24.8,6.3,17.0,8.0,84.3,25.0
683,Texas,453,2177,34,16,390,1737,Texas453,118386,1838.899869917051,6.2,5.0,16.7,19.6,5.4,30.3,16.9,88.8,47.2
684,Texas,469,145,5,4,22,114,Texas469,1199323,12.090154195325196,6.6,9.0,31.2,26.7,7.3,13.1,6.1,84.4,19.1
685,Texas,471,113,7,10,6,90,Texas471,92467,122.20575989271849,5.9,6.5,40.2,21.1,5.0,13.7,7.6,87.6,21.3
686,Texas,479,424,11,29,111,273,Texas479,71484,593.1397235745062,18.2,14.8,28.7,14.6,6.5,12.3,4.9,67.0,17.2
687,Texas,485,182,3,15,47,117,Texas485,271193,67.11087675566847,5.6,8.7,29.4,24.9,7.6,16.1,7.7,85.6,23.8
688,Texas,491,229,0,31,29,169,Texas491,131838,173.69802333166461,2.7,3.4,20.4,24.0,8.8,27.9,12.7,93.9,40.6
689,Utah,5,27,4,4,3,16,Utah5,528718,5.106692036208338,4.0,4.7,18.7,26.7,7.4,27.7,10.9,91.3,38.6
690,Utah,11,110,1,13,15,81,Utah11,122753,89.6108445414776,1.0,3.1,21.3,25.9,11.1,25.2,12.5,96.0,37.7
691,Utah,35,1368,22,118,302,926,Utah35,342281,399.67161484277534,4.0,5.9,22.8,24.2,9.2,21.1,12.6,90.0,33.8
692,Utah,49,274,9,70,35,160,Utah49,1121354,24.434745851889765,1.8,3.7,16.2,28.7,10.9,26.4,12.3,94.6,38.7
693,Utah,53,97,0,17,13,67,Utah53,592299,16.37686371241552,2.4,3.4,22.1,30.4,13.6,17.6,10.7,94.2,28.3
694,Utah,57,151,9,15,27,100,Utah57,160245,94.23070922649693,3.1,6.8,29.6,28.5,9.8,15.1,7.2,90.2,22.3
695,Vermont,7,157,1,20,6,130,Vermont7,247560,63.41896913879463,2.2,2.8,20.3,16.1,8.3,28.9,21.5,95.1,50.4
696,Virginia,3,54,1,6,12,35,Virginia3,161531,33.43011558152924,4.8,5.6,15.4,17.9,3.9,26.3,26.2,89.6,52.5
697,Virginia,7,7,0,1,1,5,Virginia7,106878,6.54952375605831,2.1,7.2,26.7,26.7,10.0,17.0,10.3,90.7,27.3
698,Virginia,13,146,1,3,44,98,Virginia13,230050,63.46446424690285,3.9,2.2,9.2,7.7,2.8,33.9,40.4,94.0,74.3
699,Virginia,15,50,6,4,3,37,Virginia15,74997,66.66933344000427,4.1,11.1,34.8,19.5,7.1,14.4,9.0,84.9,23.5
700,Virginia,19,30,1,1,4,24,Virginia19,77960,38.48127244740893,2.6,6.5,30.7,21.8,8.9,17.3,12.4,90.9,29.6
701,Virginia,41,235,12,26,83,114,Virginia41,339009,69.31969357745665,2.8,4.0,23.7,20.1,8.7,25.5,15.1,93.1,40.5
702,Virginia,51,3,0,0,0,3,Virginia51,1138652,0.2634694357889856,4.6,3.6,10.9,12.8,5.5,28.9,33.7,91.7,62.6
703,Virginia,59,511,12,28,174,297,Virginia59,69069,739.8398702746529,4.7,3.5,12.1,13.5,5.2,31.1,30.0,91.9,61.1
704,Virginia,61,32,0,2,8,22,Virginia61,84421,37.90526053943924,3.3,6.3,24.7,22.4,8.8,22.2,12.5,90.4,34.6
705,Virginia,65,12,0,0,1,11,Virginia65,104392,11.495133726722354,2.3,6.5,29.7,25.2,9.0,15.6,11.7,91.2,27.3
706,Virginia,69,42,4,2,11,25,Virginia69,326501,12.863666573762409,3.0,6.2,33.2,19.0,10.0,16.3,12.2,90.9,28.5
707,Virginia,71,6,0,2,0,4,Virginia71,74404,8.06408257620558,3.3,8.3,25.7,26.6,7.9,17.9,10.2,88.3,28.2
708,Virginia,77,12,3,2,0,7,Virginia77,385945,3.109251318193007,3.1,9.7,35.3,20.2,10.6,13.4,7.6,87.2,21.1
709,Virginia,81,3,0,0,1,2,Virginia81,98602,3.042534634185919,1.9,4.7,21.2,26.3,10.9,22.7,12.3,93.4,35.0
710,Virginia,85,76,6,2,6,62,Virginia85,455210,16.695591045890907,2.1,6.1,24.1,19.4,7.7,26.3,14.3,91.9,40.7
711,Virginia,87,484,13,10,145,316,Virginia87,94031,514.7238676606651,2.5,5.6,22.1,20.3,7.6,26.5,15.5,91.9,42.0
712,Virginia,95,42,1,2,5,34,Virginia95,79744,52.668539325842694,1.1,3.5,17.0,20.0,8.1,28.5,21.8,95.4,50.4
713,Virginia,107,130,5,9,18,98,Virginia107,132010,98.47738807666084,3.9,3.1,12.6,14.8,6.0,34.5,25.2,93.1,59.7
714,Virginia,121,42,0,5,1,36,Virginia121,144361,29.09373030112011,2.2,3.8,21.9,15.9,5.9,24.3,26.0,94.0,50.2
715,Virginia,153,413,34,22,96,261,Virginia153,67976,607.5673767211957,6.4,5.7,21.1,18.6,7.6,24.5,16.0,87.9,40.5
716,Virginia,161,79,0,4,7,68,Virginia161,155810,50.70277902573647,3.4,5.4,23.6,19.9,14.5,21.5,11.6,91.2,33.1
717,Virginia,165,31,0,3,3,25,Virginia165,135410,22.893434753710952,7.3,9.4,34.4,15.9,6.4,15.5,11.1,83.3,26.6
718,Virginia,177,85,3,2,10,70,Virginia177,181825,46.74824694073972,4.2,5.8,30.2,22.2,7.4,18.8,11.5,90.0,30.3
719,Virginia,179,135,3,7,12,113,Virginia179,245115,55.07618872774004,1.4,5.2,22.1,23.9,7.9,21.4,18.1,93.4,39.5
720,Virginia,199,41,6,3,16,16,Virginia199,99660,41.13987557696167,2.3,2.7,21.1,17.2,10.3,25.5,20.9,95.0,46.5
721,Washington,5,211,2,19,32,158,Washington5,452602,46.619325588486134,5.4,3.8,23.5,27.0,10.6,18.2,11.6,90.8,29.8
722,Washington,7,76,0,10,11,55,Washington7,193686,39.238767902687854,9.1,10.2,26.5,17.6,10.3,14.5,11.7,80.7,26.3
723,Washington,9,85,1,5,3,76,Washington9,76338,111.34690455605335,1.3,8.3,29.2,27.3,9.8,15.0,9.1,90.3,24.1
724,Washington,11,380,5,18,81,276,Washington11,74570,509.5883062893925,2.2,5.4,24.2,27.2,11.5,19.1,10.5,92.4,29.5
725,Washington,15,175,0,17,46,112,Washington15,467018,37.4717890959235,3.2,8.8,31.4,29.3,10.2,10.8,6.3,88.0,17.1
726,Washington,21,120,0,9,17,94,Washington21,105160,114.11182959300113,15.5,9.3,23.8,26.2,8.9,9.0,7.2,75.2,16.2
727,Washington,25,110,1,15,13,81,Washington25,90160,122.00532386867792,14.6,8.8,26.2,25.6,6.7,11.7,6.5,76.7,18.1
728,Washington,27,99,2,22,11,64,Washington27,93546,105.83028670386763,5.1,8.1,35.0,24.9,10.3,12.1,4.6,86.8,16.6
729,Washington,29,49,0,5,4,40,Washington29,71628,68.40900206623108,1.6,3.2,23.4,28.8,11.7,17.8,13.3,95.1,31.1
730,Washington,33,2722,32,140,765,1785,Washington33,82636,3293.963889830098,3.6,4.1,15.1,17.9,7.9,30.8,20.6,92.3,51.4
731,Washington,35,327,3,21,48,255,Washington35,2149970,15.209514551365832,2.1,4.3,22.8,28.9,10.0,20.9,11.1,93.6,31.9
732,Washington,41,110,1,10,21,78,Washington41,264811,41.539059933310924,4.3,6.9,30.0,29.4,12.6,11.3,5.4,88.7,16.7
733,Washington,53,1340,13,48,307,972,Washington53,77066,1738.7693665170113,3.2,5.9,27.0,25.9,11.1,17.9,9.0,90.9,26.9
734,Washington,57,206,6,21,30,149,Washington57,861312,23.91700104027344,4.6,5.8,26.1,28.0,11.2,15.7,8.7,89.6,24.4
735,Washington,61,788,12,40,142,594,Washington61,123681,637.1229210630573,2.7,5.2,24.3,26.0,10.5,21.4,10.1,92.2,31.4
736,Washington,63,592,16,25,102,449,Washington63,787620,75.1631497422615,1.5,4.2,23.5,27.1,12.8,19.4,11.5,94.3,30.9
737,Washington,67,356,3,13,48,292,Washington67,499072,71.33239292126186,2.0,4.1,20.6,25.9,12.2,22.3,12.9,93.9,35.2
738,Washington,73,211,1,23,35,152,Washington73,275222,76.6653828545683,3.6,5.0,25.1,23.6,9.8,21.0,11.8,91.3,32.9
739,Washington,77,467,20,49,72,326,Washington77,216800,215.40590405904058,14.2,11.0,28.7,22.2,8.1,9.6,6.3,74.8,15.9
740,West Virginia,3,90,2,4,19,65,West Virginia3,249636,36.05249242897659,2.0,10.9,37.7,21.7,7.0,12.3,8.5,87.1,20.7
741,West Virginia,11,72,5,3,9,55,West Virginia11,113525,63.422153710636415,4.4,8.9,31.6,20.3,9.2,14.0,11.6,86.8,25.6
742,West Virginia,33,75,1,4,11,59,West Virginia33,95987,78.1355808599081,3.7,7.9,38.2,18.5,6.6,16.4,8.8,88.4,25.1
743,West Virginia,39,377,8,5,47,317,West Virginia39,68400,551.1695906432749,3.3,9.4,35.9,19.4,6.8,14.1,11.1,87.3,25.2
744,West Virginia,61,137,3,12,16,106,West Virginia61,186241,73.56060158611692,1.3,6.2,31.0,15.6,5.4,21.0,19.6,92.5,40.6
745,West Virginia,81,154,6,3,16,129,West Virginia81,104622,147.19657433427003,3.4,7.8,40.8,20.8,7.6,12.9,6.7,88.8,19.6
746,West Virginia,107,77,1,3,10,63,West Virginia107,76601,100.52088092844741,2.6,5.8,32.4,25.1,8.8,14.7,10.5,91.6,25.2
747,Wisconsin,9,328,5,32,36,255,Wisconsin9,85643,382.98518267692634,2.8,4.0,31.7,20.0,13.2,20.6,7.7,93.2,28.4
748,Wisconsin,25,523,10,50,76,387,Wisconsin25,260401,200.84408278002005,1.5,2.2,17.8,15.9,10.7,31.1,20.9,96.3,52.0
749,Wisconsin,27,51,1,3,4,43,Wisconsin27,531273,9.599584394463864,2.6,6.8,39.7,22.9,11.4,11.0,5.4,90.6,16.4
750,Wisconsin,35,173,2,13,16,142,Wisconsin35,88068,196.4391152291411,2.5,4.2,25.2,22.0,15.4,20.0,10.8,93.3,30.8
751,Wisconsin,39,121,0,23,6,92,Wisconsin39,102965,117.51566066138979,2.7,5.8,37.2,20.0,10.6,16.7,7.1,91.5,23.8
752,Wisconsin,55,138,0,27,5,106,Wisconsin55,102144,135.10338345864662,3.6,6.3,32.5,21.4,11.8,16.7,7.8,90.2,24.4
753,Wisconsin,59,309,5,1,52,251,Wisconsin59,84625,365.1403249630724,3.9,8.5,30.2,22.9,9.5,15.4,9.6,87.6,25.0
754,Wisconsin,63,112,1,18,10,83,Wisconsin63,168183,66.59412663586689,1.6,3.7,21.8,22.6,13.6,22.8,14.0,94.7,36.8
755,Wisconsin,71,117,1,6,7,103,Wisconsin71,118122,99.05013460659318,2.5,5.6,43.0,19.4,10.3,13.5,5.7,91.9,19.2
756,Wisconsin,73,171,1,35,35,100,Wisconsin73,79536,214.99698249849126,3.2,5.6,35.3,18.4,12.8,16.8,7.9,91.2,24.7
757,Wisconsin,79,2730,120,290,993,1327,Wisconsin79,135603,2013.2297958009779,4.2,7.7,28.5,21.0,7.9,19.4,11.2,88.1,30.6
758,Wisconsin,87,206,2,16,33,155,Wisconsin87,951448,21.651209524850543,2.5,3.9,31.5,21.8,13.1,19.1,8.1,93.6,27.2
759,Wisconsin,89,31,1,2,2,26,Wisconsin89,184526,16.799800570109362,1.1,2.8,21.4,19.3,7.4,28.2,19.7,96.1,48.0
760,Wisconsin,97,67,1,11,4,51,Wisconsin97,88314,75.86566116357542,1.6,4.0,30.9,20.8,11.3,22.6,8.9,94.4,31.5
761,Wisconsin,101,177,9,2,67,99,Wisconsin101,70447,251.2527148068761,2.9,7.1,35.3,21.1,10.5,15.1,7.9,89.9,23.0
762,Wisconsin,105,240,14,6,54,166,Wisconsin105,195140,122.98862355232141,2.7,6.9,34.3,23.4,11.0,14.3,7.3,90.4,21.7
763,Wisconsin,109,43,0,3,3,37,Wisconsin109,161620,26.605618116569733,1.4,1.6,23.1,22.4,15.7,25.4,10.4,97.0,35.8
764,Wisconsin,117,137,9,19,19,90,Wisconsin117,88029,155.6305308477888,2.2,4.3,36.1,21.8,10.0,18.8,6.9,93.5,25.6
765,Wisconsin,127,100,1,6,8,85,Wisconsin127,115427,86.63484280107774,2.4,5.1,32.0,22.1,9.1,18.0,11.3,92.5,29.2
766,Wisconsin,131,97,2,3,6,86,Wisconsin131,102959,94.21225924882721,1.2,3.9,29.6,22.5,12.2,21.3,9.4,94.9,30.6
767,Wisconsin,133,225,24,27,51,123,Wisconsin133,134296,167.54035861082983,1.1,2.8,23.7,19.8,9.7,27.8,15.1,96.1,42.9
768,Wisconsin,139,200,1,5,38,156,Wisconsin139,398424,50.19777925024597,2.1,5.7,34.0,19.7,10.1,20.3,8.1,92.2,28.4
769,Wisconsin,141,15,1,5,2,7,Wisconsin141,169886,8.829450337285003,2.6,5.6,37.2,20.2,13.1,12.6,8.7,91.8,21.3
770,Wyoming,21,99,1,6,9,83,Wyoming21,73107,135.41794903360827,1.7,4.3,25.3,26.5,14.9,17.4,9.9,94.0,27.3
771,Wyoming,25,68,2,11,3,52,Wyoming25,98136,69.29159533708324,0.6,5.2,33.9,24.9,11.9,14.3,9.2,94.1,23.5
