"Label (Grouping)","Total"
"Cumberland County, New Jersey",""
"    Estimate","2,644"
"Essex County, New Jersey",""
"    Estimate","10,751"
"Gloucester County, New Jersey",""
"    Estimate","4,673"
"Hudson County, New Jersey",""
"    Estimate","9,375"
"Hunterdon County, New Jersey",""
"    Estimate","2,369"
"Mercer County, New Jersey",""
"    Estimate","4,998"
"Middlesex County, New Jersey",""
"    Estimate","12,739"
"Monmouth County, New Jersey",""
"    Estimate","9,776"
"Morris County, New Jersey",""
"    Estimate","7,920"
"Ocean County, New Jersey",""
"    Estimate","8,737"
"Passaic County, New Jersey",""
"    Estimate","6,713"
"Salem County, New Jersey",""
"    Estimate","1,248"
"Somerset County, New Jersey",""
"    Estimate","4,803"
"Sussex County, New Jersey",""
"    Estimate","2,798"
"Union County, New Jersey",""
"    Estimate","7,713"
"Warren County, New Jersey",""
"    Estimate","1,997"
"Bernalillo County, New Mexico",""
"    Estimate","8,840"
"Chaves County, New Mexico",""
"    Estimate","865"
"Doña Ana County, New Mexico",""
"    Estimate","2,486"
"Lea County, New Mexico",""
"    Estimate","954"
"McKinley County, New Mexico",""
"    Estimate","2,365"
"Otero County, New Mexico",""
"    Estimate","952"
"Sandoval County, New Mexico",""
"    Estimate","2,653"
"San Juan County, New Mexico",""
"    Estimate","2,731"
"Santa Fe County, New Mexico",""
"    Estimate","3,156"
"Valencia County, New Mexico",""
"    Estimate","1,014"
"Albany County, New York",""
"    Estimate","5,016"
"Bronx County, New York",""
"    Estimate","17,155"
"Broome County, New York",""
"    Estimate","3,652"
"Cattaraugus County, New York",""
"    Estimate","2,879"
"Cayuga County, New York",""
"    Estimate","2,490"
"Chautauqua County, New York",""
"    Estimate","3,328"
"Chemung County, New York",""
"    Estimate","1,718"
"Clinton County, New York",""
"    Estimate","1,620"
"Dutchess County, New York",""
"    Estimate","5,335"
"Erie County, New York",""
"    Estimate","14,306"
"Jefferson County, New York",""
"    Estimate","2,728"
"Kings County, New York",""
"    Estimate","41,489"
"Livingston County, New York",""
"    Estimate","1,657"
"Madison County, New York",""
"    Estimate","1,686"
"Monroe County, New York",""
"    Estimate","11,658"
"Nassau County, New York",""
"    Estimate","22,561"
"New York County, New York",""
"    Estimate","16,061"
"Niagara County, New York",""
"    Estimate","3,575"
"Oneida County, New York",""
"    Estimate","4,639"
"Onondaga County, New York",""
"    Estimate","8,921"
"Ontario County, New York",""
"    Estimate","2,269"
"Orange County, New York",""
"    Estimate","5,555"
"Oswego County, New York",""
"    Estimate","2,606"
"Putnam County, New York",""
"    Estimate","1,552"
"Queens County, New York",""
"    Estimate","36,024"
"Rensselaer County, New York",""
"    Estimate","2,887"
"Richmond County, New York",""
"    Estimate","6,892"
"Rockland County, New York",""
"    Estimate","5,330"
"St. Lawrence County, New York",""
"    Estimate","3,075"
"Saratoga County, New York",""
"    Estimate","3,831"
"Schenectady County, New York",""
"    Estimate","2,301"
"Steuben County, New York",""
"    Estimate","3,055"
"Suffolk County, New York",""
"    Estimate","22,927"
"Sullivan County, New York",""
"    Estimate","1,237"
"Tompkins County, New York",""
"    Estimate","1,943"
"Ulster County, New York",""
"    Estimate","3,019"
"Warren County, New York",""
"    Estimate","1,326"
"Wayne County, New York",""
"    Estimate","1,943"
"Westchester County, New York",""
"    Estimate","14,406"
"Alamance County, North Carolina",""
"    Estimate","2,916"
"Brunswick County, North Carolina",""
"    Estimate","2,021"
"Buncombe County, North Carolina",""
"    Estimate","3,429"
"Burke County, North Carolina",""
"    Estimate","1,401"
"Cabarrus County, North Carolina",""
"    Estimate","2,606"
"Caldwell County, North Carolina",""
"    Estimate","1,207"
"Carteret County, North Carolina",""
"    Estimate","1,686"
"Catawba County, North Carolina",""
"    Estimate","2,234"
"Chatham County, North Carolina",""
"    Estimate","986"
"Cleveland County, North Carolina",""
"    Estimate","1,573"
"Craven County, North Carolina",""
"    Estimate","1,457"
"Cumberland County, North Carolina",""
"    Estimate","5,238"
"Davidson County, North Carolina",""
"    Estimate","2,268"
"Durham County, North Carolina",""
"    Estimate","3,648"
"Forsyth County, North Carolina",""
"    Estimate","5,767"
"Gaston County, North Carolina",""
"    Estimate","3,712"
"Guilford County, North Carolina",""
"    Estimate","7,521"
"Harnett County, North Carolina",""
"    Estimate","2,894"
"Henderson County, North Carolina",""
"    Estimate","1,658"
"Iredell County, North Carolina",""
"    Estimate","3,017"
"Johnston County, North Carolina",""
"    Estimate","2,011"
"Lincoln County, North Carolina",""
"    Estimate","1,200"
"Mecklenburg County, North Carolina",""
"    Estimate","14,199"
"Moore County, North Carolina",""
"    Estimate","1,270"
"Nash County, North Carolina",""
"    Estimate","1,281"
"New Hanover County, North Carolina",""
"    Estimate","2,690"
"Onslow County, North Carolina",""
"    Estimate","2,367"
"Orange County, North Carolina",""
"    Estimate","2,319"
"Pitt County, North Carolina",""
"    Estimate","2,045"
"Randolph County, North Carolina",""
"    Estimate","2,064"
"Robeson County, North Carolina",""
"    Estimate","2,583"
"Rockingham County, North Carolina",""
"    Estimate","1,365"
"Rowan County, North Carolina",""
"    Estimate","2,029"
"Rutherford County, North Carolina",""
"    Estimate","808"
"Surry County, North Carolina",""
"    Estimate","1,347"
"Union County, North Carolina",""
"    Estimate","3,592"
"Wake County, North Carolina",""
"    Estimate","13,603"
"Wayne County, North Carolina",""
"    Estimate","1,653"
"Wilkes County, North Carolina",""
"    Estimate","861"
"Wilson County, North Carolina",""
"    Estimate","1,198"
"Burleigh County, North Dakota",""
"    Estimate","1,725"
"Cass County, North Dakota",""
"    Estimate","2,983"
"Grand Forks County, North Dakota",""
"    Estimate","1,718"
"Ward County, North Dakota",""
"    Estimate","1,339"
"Allen County, Ohio",""
"    Estimate","2,003"
"Ashtabula County, Ohio",""
"    Estimate","1,882"
"Athens County, Ohio",""
"    Estimate","1,422"
"Belmont County, Ohio",""
"    Estimate","1,543"
"Butler County, Ohio",""
"    Estimate","5,532"
"Clark County, Ohio",""
"    Estimate","2,720"
"Clermont County, Ohio",""
"    Estimate","3,066"
"Columbiana County, Ohio",""
"    Estimate","1,830"
"Cuyahoga County, Ohio",""
"    Estimate","22,467"
"Delaware County, Ohio",""
"    Estimate","3,021"
"Erie County, Ohio",""
"    Estimate","1,220"
"Fairfield County, Ohio",""
"    Estimate","2,501"
"Franklin County, Ohio",""
"    Estimate","17,577"
"Geauga County, Ohio",""
"    Estimate","1,795"
"Greene County, Ohio",""
"    Estimate","2,734"
"Hamilton County, Ohio",""
"    Estimate","12,770"
"Hancock County, Ohio",""
"    Estimate","1,291"
"Jefferson County, Ohio",""
"    Estimate","1,550"
"Lake County, Ohio",""
"    Estimate","4,048"
"Licking County, Ohio",""
"    Estimate","2,565"
"Lorain County, Ohio",""
"    Estimate","4,983"
"Lucas County, Ohio",""
"    Estimate","6,897"
"Mahoning County, Ohio",""
"    Estimate","4,100"
"Marion County, Ohio",""
"    Estimate","1,217"
"Medina County, Ohio",""
"    Estimate","3,011"
"Miami County, Ohio",""
"    Estimate","1,718"
"Montgomery County, Ohio",""
"    Estimate","8,553"
"Muskingum County, Ohio",""
"    Estimate","1,539"
"Portage County, Ohio",""
"    Estimate","2,565"
"Richland County, Ohio",""
"    Estimate","2,037"
"Ross County, Ohio",""
"    Estimate","1,337"
"Scioto County, Ohio",""
"    Estimate","1,236"
"Stark County, Ohio",""
"    Estimate","6,236"
"Summit County, Ohio",""
"    Estimate","8,431"
"Trumbull County, Ohio",""
"    Estimate","3,531"
"Tuscarawas County, Ohio",""
"    Estimate","1,727"
"Warren County, Ohio",""
"    Estimate","3,033"
"Wayne County, Ohio",""
"    Estimate","2,559"
"Wood County, Ohio",""
"    Estimate","2,537"
"Canadian County, Oklahoma",""
"    Estimate","2,361"
"Cleveland County, Oklahoma",""
"    Estimate","4,304"
"Comanche County, Oklahoma",""
"    Estimate","2,122"
"Creek County, Oklahoma",""
"    Estimate","2,096"
"Muskogee County, Oklahoma",""
"    Estimate","1,756"
"Oklahoma County, Oklahoma",""
"    Estimate","12,751"
"Payne County, Oklahoma",""
"    Estimate","1,507"
"Pottawatomie County, Oklahoma",""
"    Estimate","2,181"
"Rogers County, Oklahoma",""
"    Estimate","2,480"
"Tulsa County, Oklahoma",""
"    Estimate","14,000"
"Wagoner County, Oklahoma",""
"    Estimate","1,923"
"Benton County, Oregon",""
"    Estimate","1,567"
"Clackamas County, Oregon",""
"    Estimate","5,626"
"Deschutes County, Oregon",""
"    Estimate","1,865"
"Douglas County, Oregon",""
"    Estimate","1,704"
"Jackson County, Oregon",""
"    Estimate","2,794"
"Josephine County, Oregon",""
"    Estimate","1,019"
"Klamath County, Oregon",""
"    Estimate","1,118"
"Lane County, Oregon",""
"    Estimate","5,889"
"Linn County, Oregon",""
"    Estimate","1,863"
"Marion County, Oregon",""
"    Estimate","4,681"
"Multnomah County, Oregon",""
"    Estimate","11,706"
"Polk County, Oregon",""
"    Estimate","1,065"
"Umatilla County, Oregon",""
"    Estimate","1,366"
"Washington County, Oregon",""
"    Estimate","8,177"
"Yamhill County, Oregon",""
"    Estimate","1,753"
"Adams County, Pennsylvania",""
"    Estimate","2,627"
"Allegheny County, Pennsylvania",""
"    Estimate","22,345"
"Armstrong County, Pennsylvania",""
"    Estimate","2,050"
"Beaver County, Pennsylvania",""
"    Estimate","3,729"
"Berks County, Pennsylvania",""
"    Estimate","7,647"
"Blair County, Pennsylvania",""
"    Estimate","2,771"
"Bucks County, Pennsylvania",""
"    Estimate","10,758"
"Butler County, Pennsylvania",""
"    Estimate","4,832"
"Cambria County, Pennsylvania",""
"    Estimate","4,467"
"Carbon County, Pennsylvania",""
"    Estimate","1,240"
"Centre County, Pennsylvania",""
"    Estimate","3,295"
"Chester County, Pennsylvania",""
"    Estimate","9,512"
"Clearfield County, Pennsylvania",""
"    Estimate","2,541"
"Columbia County, Pennsylvania",""
"    Estimate","2,316"
"Crawford County, Pennsylvania",""
"    Estimate","3,318"
"Cumberland County, Pennsylvania",""
"    Estimate","4,298"
"Dauphin County, Pennsylvania",""
"    Estimate","5,018"
"Delaware County, Pennsylvania",""
"    Estimate","9,891"
"Erie County, Pennsylvania",""
"    Estimate","5,536"
"Fayette County, Pennsylvania",""
"    Estimate","2,902"
"Franklin County, Pennsylvania",""
"    Estimate","2,535"
"Indiana County, Pennsylvania",""
"    Estimate","2,625"
"Lackawanna County, Pennsylvania",""
"    Estimate","4,391"
"Lancaster County, Pennsylvania",""
"    Estimate","8,249"
"Lawrence County, Pennsylvania",""
"    Estimate","2,247"
"Lebanon County, Pennsylvania",""
"    Estimate","2,419"
"Lehigh County, Pennsylvania",""
"    Estimate","5,663"
"Luzerne County, Pennsylvania",""
"    Estimate","6,850"
"Lycoming County, Pennsylvania",""
"    Estimate","3,628"
"Mercer County, Pennsylvania",""
"    Estimate","3,506"
"Monroe County, Pennsylvania",""
"    Estimate","1,908"
"Montgomery County, Pennsylvania",""
"    Estimate","15,185"
"Northampton County, Pennsylvania",""
"    Estimate","5,510"
"Northumberland County, Pennsylvania",""
"    Estimate","2,443"
"Philadelphia County, Pennsylvania",""
"    Estimate","19,390"
"Schuylkill County, Pennsylvania",""
"    Estimate","4,226"
"Somerset County, Pennsylvania",""
"    Estimate","2,862"
"Washington County, Pennsylvania",""
"    Estimate","4,842"
"Westmoreland County, Pennsylvania",""
"    Estimate","7,136"
"York County, Pennsylvania",""
"    Estimate","7,826"
"Kent County, Rhode Island",""
"    Estimate","2,254"
"Newport County, Rhode Island",""
"    Estimate","1,303"
"Providence County, Rhode Island",""
"    Estimate","8,704"
"Washington County, Rhode Island",""
"    Estimate","2,000"
"Aiken County, South Carolina",""
"    Estimate","2,080"
"Anderson County, South Carolina",""
"    Estimate","2,356"
"Beaufort County, South Carolina",""
"    Estimate","2,263"
"Berkeley County, South Carolina",""
"    Estimate","2,962"
"Charleston County, South Carolina",""
"    Estimate","5,271"
"Darlington County, South Carolina",""
"    Estimate","896"
"Dorchester County, South Carolina",""
"    Estimate","1,883"
"Florence County, South Carolina",""
"    Estimate","2,012"
"Greenville County, South Carolina",""
"    Estimate","6,912"
"Greenwood County, South Carolina",""
"    Estimate","919"
"Horry County, South Carolina",""
"    Estimate","4,247"
"Lancaster County, South Carolina",""
"    Estimate","965"
"Laurens County, South Carolina",""
"    Estimate","1,174"
"Lexington County, South Carolina",""
"    Estimate","4,800"
"Oconee County, South Carolina",""
"    Estimate","1,102"
"Orangeburg County, South Carolina",""
"    Estimate","1,384"
"Pickens County, South Carolina",""
"    Estimate","1,974"
"Richland County, South Carolina",""
"    Estimate","5,833"
"Spartanburg County, South Carolina",""
"    Estimate","4,331"
"Sumter County, South Carolina",""
"    Estimate","1,465"
"York County, South Carolina",""
"    Estimate","3,634"
"Minnehaha County, South Dakota",""
"    Estimate","3,406"
"Pennington County, South Dakota",""
"    Estimate","1,675"
"Anderson County, Tennessee",""
"    Estimate","1,149"
"Blount County, Tennessee",""
"    Estimate","1,842"
"Bradley County, Tennessee",""
"    Estimate","1,385"
"Davidson County, Tennessee",""
"    Estimate","9,376"
"Greene County, Tennessee",""
"    Estimate","1,030"
"Hamilton County, Tennessee",""
"    Estimate","4,881"
"Knox County, Tennessee",""
"    Estimate","6,679"
"Madison County, Tennessee",""
"    Estimate","1,535"
"Maury County, Tennessee",""
"    Estimate","1,118"
"Montgomery County, Tennessee",""
"    Estimate","2,505"
"Putnam County, Tennessee",""
"    Estimate","1,171"
"Robertson County, Tennessee",""
"    Estimate","1,194"
"Rutherford County, Tennessee",""
"    Estimate","3,728"
"Sevier County, Tennessee",""
"    Estimate","1,184"
"Shelby County, Tennessee",""
"    Estimate","11,497"
"Sullivan County, Tennessee",""
"    Estimate","2,509"
"Sumner County, Tennessee",""
"    Estimate","2,717"
"Washington County, Tennessee",""
"    Estimate","1,577"
"Williamson County, Tennessee",""
"    Estimate","3,258"
"Wilson County, Tennessee",""
"    Estimate","1,667"
"Angelina County, Texas",""
"    Estimate","1,009"
"Bastrop County, Texas",""
"    Estimate","756"
"Bell County, Texas",""
"    Estimate","4,123"
"Bexar County, Texas",""
"    Estimate","23,962"
"Bowie County, Texas",""
"    Estimate","1,307"
"Brazoria County, Texas",""
"    Estimate","3,965"
"Brazos County, Texas",""
"    Estimate","2,832"
"Cameron County, Texas",""
"    Estimate","4,944"
"Collin County, Texas",""
"    Estimate","12,231"
"Comal County, Texas",""
"    Estimate","1,676"
"Coryell County, Texas",""
"    Estimate","1,546"
"Dallas County, Texas",""
"    Estimate","31,492"
"Denton County, Texas",""
"    Estimate","11,111"
"Ector County, Texas",""
"    Estimate","1,554"
"Ellis County, Texas",""
"    Estimate","2,488"
"El Paso County, Texas",""
"    Estimate","9,753"
"Fort Bend County, Texas",""
"    Estimate","6,886"
"Galveston County, Texas",""
"    Estimate","3,926"
"Grayson County, Texas",""
"    Estimate","2,006"
"Gregg County, Texas",""
"    Estimate","1,601"
"Guadalupe County, Texas",""
"    Estimate","2,107"
"Harris County, Texas",""
"    Estimate","48,426"
"Harrison County, Texas",""
"    Estimate","939"
"Hays County, Texas",""
"    Estimate","2,368"
"Henderson County, Texas",""
"    Estimate","1,489"
"Hidalgo County, Texas",""
"    Estimate","7,831"
"Hunt County, Texas",""
"    Estimate","1,529"
"Jefferson County, Texas",""
"    Estimate","3,441"
"Johnson County, Texas",""
"    Estimate","2,233"
"Kaufman County, Texas",""
"    Estimate","1,896"
"Liberty County, Texas",""
"    Estimate","978"
"Lubbock County, Texas",""
"    Estimate","3,925"
"McLennan County, Texas",""
"    Estimate","3,769"
"Midland County, Texas",""
"    Estimate","1,569"
"Montgomery County, Texas",""
"    Estimate","4,818"
"Nacogdoches County, Texas",""
"    Estimate","1,009"
"Nueces County, Texas",""
"    Estimate","4,671"
"Orange County, Texas",""
"    Estimate","1,246"
"Parker County, Texas",""
"    Estimate","1,875"
"Potter County, Texas",""
"    Estimate","1,810"
"Randall County, Texas",""
"    Estimate","2,018"
"Rockwall County, Texas",""
"    Estimate","1,087"
"San Patricio County, Texas",""
"    Estimate","1,052"
"Smith County, Texas",""
"    Estimate","2,554"
"Tarrant County, Texas",""
"    Estimate","24,558"
"Taylor County, Texas",""
"    Estimate","2,132"
"Tom Green County, Texas",""
"    Estimate","1,579"
"Travis County, Texas",""
"    Estimate","14,682"
"Victoria County, Texas",""
"    Estimate","1,192"
"Walker County, Texas",""
"    Estimate","1,070"
"Webb County, Texas",""
"    Estimate","3,621"
"Wichita County, Texas",""
"    Estimate","2,080"
"Williamson County, Texas",""
"    Estimate","6,451"
"Cache County, Utah",""
"    Estimate","2,609"
"Davis County, Utah",""
"    Estimate","4,879"
"Salt Lake County, Utah",""
"    Estimate","15,967"
"Utah County, Utah",""
"    Estimate","11,696"
"Washington County, Utah",""
"    Estimate","1,783"
"Weber County, Utah",""
"    Estimate","3,680"
"Chittenden County, Vermont",""
"    Estimate","3,111"
"Albemarle County, Virginia",""
"    Estimate","1,733"
"Arlington County, Virginia",""
"    Estimate","3,318"
"Augusta County, Virginia",""
"    Estimate","958"
"Bedford County, Virginia",""
"    Estimate","1,087"
"Chesterfield County, Virginia",""
"    Estimate","4,786"
"Fairfax County, Virginia",""
"    Estimate","18,435"
"Fauquier County, Virginia",""
"    Estimate","1,217"
"Frederick County, Virginia",""
"    Estimate","1,168"
"Hanover County, Virginia",""
"    Estimate","1,723"
"Henrico County, Virginia",""
"    Estimate","4,198"
"James City County, Virginia",""
"    Estimate","816"
"Loudoun County, Virginia",""
"    Estimate","5,650"
"Montgomery County, Virginia",""
"    Estimate","1,284"
"Prince William County, Virginia",""
"    Estimate","6,458"
"Roanoke County, Virginia",""
"    Estimate","1,348"
"Rockingham County, Virginia",""
"    Estimate","1,508"
"Spotsylvania County, Virginia",""
"    Estimate","2,298"
"Stafford County, Virginia",""
"    Estimate","2,127"
"York County, Virginia",""
"    Estimate","940"
"Alexandria city, Virginia",""
"    Estimate","2,218"
"Chesapeake city, Virginia",""
"    Estimate","2,913"
"Hampton city, Virginia",""
"    Estimate","1,772"
"Lynchburg city, Virginia",""
"    Estimate","1,213"
"Newport News city, Virginia",""
"    Estimate","2,406"
"Norfolk city, Virginia",""
"    Estimate","4,135"
"Portsmouth city, Virginia",""
"    Estimate","1,458"
"Richmond city, Virginia",""
"    Estimate","3,370"
"Roanoke city, Virginia",""
"    Estimate","1,199"
"Suffolk city, Virginia",""
"    Estimate","1,543"
"Virginia Beach city, Virginia",""
"    Estimate","6,734"
"Benton County, Washington",""
"    Estimate","2,659"
"Chelan County, Washington",""
"    Estimate","928"
"Clallam County, Washington",""
"    Estimate","1,405"
"Clark County, Washington",""
"    Estimate","7,467"
"Cowlitz County, Washington",""
"    Estimate","1,469"
"Franklin County, Washington",""
"    Estimate","1,005"
"Grant County, Washington",""
"    Estimate","1,195"
"Grays Harbor County, Washington",""
"    Estimate","1,407"
"Island County, Washington",""
"    Estimate","1,372"
"King County, Washington",""
"    Estimate","30,289"
"Kitsap County, Washington",""
"    Estimate","4,638"
"Lewis County, Washington",""
"    Estimate","1,490"
"Pierce County, Washington",""
"    Estimate","13,324"
"Skagit County, Washington",""
"    Estimate","3,520"
"Snohomish County, Washington",""
"    Estimate","11,397"
"Spokane County, Washington",""
"    Estimate","7,469"
"Thurston County, Washington",""
"    Estimate","3,810"
"Whatcom County, Washington",""
"    Estimate","2,949"
"Yakima County, Washington",""
"    Estimate","3,572"
"Berkeley County, West Virginia",""
"    Estimate","1,234"
"Cabell County, West Virginia",""
"    Estimate","1,392"
"Harrison County, West Virginia",""
"    Estimate","1,324"
"Kanawha County, West Virginia",""
"    Estimate","2,779"
"Monongalia County, West Virginia",""
"    Estimate","1,581"
"Raleigh County, West Virginia",""
"    Estimate","1,041"
"Wood County, West Virginia",""
"    Estimate","1,451"
"Brown County, Wisconsin",""
"    Estimate","4,509"
"Dane County, Wisconsin",""
"    Estimate","9,843"
"Dodge County, Wisconsin",""
"    Estimate","3,207"
"Eau Claire County, Wisconsin",""
"    Estimate","2,151"
"Fond du Lac County, Wisconsin",""
"    Estimate","3,094"
"Jefferson County, Wisconsin",""
"    Estimate","2,210"
"Kenosha County, Wisconsin",""
"    Estimate","2,607"
"La Crosse County, Wisconsin",""
"    Estimate","2,421"
"Manitowoc County, Wisconsin",""
"    Estimate","2,717"
"Marathon County, Wisconsin",""
"    Estimate","4,507"
"Milwaukee County, Wisconsin",""
"    Estimate","16,264"
"Outagamie County, Wisconsin",""
"    Estimate","3,967"
"Ozaukee County, Wisconsin",""
"    Estimate","1,660"
"Portage County, Wisconsin",""
"    Estimate","2,418"
"Racine County, Wisconsin",""
"    Estimate","3,402"
"Rock County, Wisconsin",""
"    Estimate","3,448"
"St. Croix County, Wisconsin",""
"    Estimate","2,480"
"Sheboygan County, Wisconsin",""
"    Estimate","3,081"
"Walworth County, Wisconsin",""
"    Estimate","2,611"
"Washington County, Wisconsin",""
"    Estimate","2,282"
"Waukesha County, Wisconsin",""
"    Estimate","7,717"
"Winnebago County, Wisconsin",""
"    Estimate","3,690"
"Wood County, Wisconsin",""
"    Estimate","2,540"
"Laramie County, Wyoming",""
"    Estimate","1,413"
"Natrona County, Wyoming",""
"    Estimate","1,311"
"Arecibo Municipio, Puerto Rico",""
"    Estimate","1,183"
"Bayamón Municipio, Puerto Rico",""
"    Estimate","3,160"
"Caguas Municipio, Puerto Rico",""
"    Estimate","1,582"
"Carolina Municipio, Puerto Rico",""
"    Estimate","2,140"
"Guaynabo Municipio, Puerto Rico",""
"    Estimate","1,073"
"Mayagüez Municipio, Puerto Rico",""
"    Estimate","1,043"
"Ponce Municipio, Puerto Rico",""
"    Estimate","2,113"
"San Juan Municipio, Puerto Rico",""
"    Estimate","5,216"
"Toa Alta Municipio, Puerto Rico",""
"    Estimate","709"
"Toa Baja Municipio, Puerto Rico",""
"    Estimate","1,007"
"Trujillo Alto Municipio, Puerto Rico",""
"    Estimate","847"